True Label,D01_Samsung_GalaxyS3Mini,D02_Apple_iPhone4s,D03_Huawei_P9,D04_LG_D290,D05_Apple_iPhone5c,D06_Apple_iPhone6,D07_Lenovo_P70A,D08_Samsung_GalaxyTab3,D09_Apple_iPhone4,D10_Apple_iPhone4s,D11_Samsung_GalaxyS3,D12_Sony_XperiaZ1Compact,D13_Apple_iPad2,D14_Apple_iPhone5c,D15_Apple_iPhone6,D16_Huawei_P9Lite,D17_Microsoft_Lumia640LTE,D18_Apple_iPhone5c,D19_Apple_iPhone6Plus,D20_Apple_iPadMini,D21_Wiko_Ridge4G,D22_Samsung_GalaxyTrendPlus,D23_Asus_Zenfone2Laser,D24_Xiaomi_RedmiNote3,D25_OnePlus_A3000,D26_Samsung_GalaxyS3Mini,D27_Samsung_GalaxyS5,D28_Huawei_P8,D29_Apple_iPhone5,D30_Huawei_Honor5c,D31_Samsung_GalaxyS4Mini,D32_OnePlus_A3003,D33_Huawei_Ascend,D34_Apple_iPhone5,D35_Samsung_GalaxyTabA
D01_Samsung_GalaxyS3Mini,0,0,0,0,2,14,1,4,9,2,0,1,0,0,5,0,0,3,0,14,137,14,8,3,0,0,0,76,19,7,220,5,82,0,0
D02_Apple_iPhone4s,2,1,0,0,10,8,0,7,25,4,0,5,0,0,26,0,0,1,0,18,65,12,2,5,0,3,0,41,78,21,182,5,117,0,2
D03_Huawei_P9,0,0,0,0,0,0,0,37,72,4,0,19,0,0,12,0,0,6,0,0,91,0,0,0,0,0,0,32,97,33,186,22,123,0,8
D04_LG_D290,2,0,0,0,7,2,0,5,36,2,4,20,0,0,2,0,0,0,0,16,98,2,0,7,0,0,0,20,69,78,207,9,140,0,4
D05_Apple_iPhone5c,0,0,0,0,5,16,0,11,103,6,0,3,0,0,82,0,0,0,0,2,65,4,0,3,0,9,0,30,190,195,253,10,68,0,0
D06_Apple_iPhone6,0,2,0,0,3,13,2,1,12,0,0,0,0,0,12,0,0,3,0,0,126,12,0,6,0,0,0,18,26,4,142,0,90,0,0
D07_Lenovo_P70A,0,0,0,0,3,0,0,5,21,0,0,0,0,0,111,0,0,4,0,0,65,0,0,10,0,16,0,30,135,49,190,10,65,0,0
D08_Samsung_GalaxyTab3,0,4,0,0,0,18,2,3,33,1,0,22,0,0,13,0,0,0,1,11,125,5,3,2,0,0,3,58,33,12,54,0,107,0,0
D09_Apple_iPhone4,0,2,0,0,5,0,0,3,7,41,0,12,0,0,6,0,0,1,0,0,25,0,0,0,0,8,0,74,160,71,210,2,53,0,0
D10_Apple_iPhone4s,0,0,0,0,8,27,0,10,8,4,0,1,0,0,12,0,0,4,0,2,134,77,4,2,0,0,0,46,12,6,156,2,74,0,0
D11_Samsung_GalaxyS3,3,0,0,0,0,19,5,3,38,0,4,12,0,0,37,0,0,0,0,0,152,30,8,7,0,8,0,17,77,8,164,3,52,0,0
D12_Sony_XperiaZ1Compact,0,0,0,0,4,21,2,3,66,7,3,9,0,0,18,0,0,6,3,0,74,8,11,3,0,0,3,41,64,27,201,0,100,0,0
D13_Apple_iPad2,0,0,0,0,1,29,69,1,19,1,0,5,0,0,10,0,0,7,0,0,106,5,0,9,0,1,0,35,14,16,160,2,97,0,0
D14_Apple_iPhone5c,0,1,0,0,1,36,0,4,77,9,0,0,0,0,40,0,0,0,0,1,80,13,2,0,0,3,0,12,73,38,201,5,79,0,0
